service_id,date,exception_type
110-14201,20170220,1
110-14201,20170227,1
110-14201,20170306,1
110-14201,20170313,1
110-14201,20170320,1
110-14201,20170327,1
110-14201,20170403,1
110-14201,20170410,1
110-14201,20170417,1
110-14201,20170424,1
110-14201,20170501,1
110-14201,20170508,1
110-14201,20170515,1
110-14201,20170522,1
110-14304,20170311,1
110-14304,20170318,1
110-14601,20170306,1
110-14601,20170307,1
110-14601,20170308,1
110-14601,20170309,1
110-14701,20170310,1
110-14701,20170315,1
110-14701,20170316,1
110-14701,20170317,1
110-14801,20170313,1
110-14801,20170314,1
110-15504,20170114,1
110-15504,20170121,1
110-15504,20170128,1
110-15504,20170204,1
110-15504,20170211,1
110-15504,20170218,1
110-15504,20170225,1
110-15504,20170304,1
110-15504,20170325,1
110-15504,20170401,1
110-15504,20170408,1
110-15504,20170415,1
110-15504,20170429,1
110-15504,20170513,1
110-15504,20170520,1
110-15504,20170527,1
110-15504,20170603,1
110-15601,20170310,1
110-15601,20170313,1
110-15601,20170314,1
110-15601,20170315,1
110-15601,20170316,1
110-15601,20170317,1
110-15604,20170311,1
110-15604,20170318,1
110-15605,20170312,1
110-16004,20170311,1
110-16004,20170318,1
110-20704,20170121,1
110-20704,20170128,1
110-20704,20170204,1
110-20704,20170211,1
110-20704,20170218,1
110-20704,20170225,1
110-20704,20170304,1
110-20704,20170311,1
110-20704,20170318,1
110-20704,20170325,1
110-20704,20170401,1
110-20704,20170408,1
110-20704,20170415,1
110-20704,20170422,1
110-20704,20170429,1
110-20704,20170506,1
110-20704,20170513,1
110-20804,20170422,1
110-20804,20170506,1
110-20805,20170312,1
110-21005,20170122,1
110-21005,20170129,1
110-21005,20170205,1
110-21005,20170212,1
110-21005,20170219,1
110-21005,20170226,1
110-21005,20170305,1
110-21005,20170319,1
110-21005,20170326,1
110-21005,20170402,1
110-21005,20170409,1
110-21005,20170416,1
110-21005,20170423,1
110-21005,20170430,1
110-21005,20170507,1
110-21005,20170514,1
110-21301,20170310,1
110-21301,20170317,1
110-21404,20170408,1
110-23501,20170109,1
110-23501,20170110,1
110-23501,20170111,1
110-23501,20170112,1
110-23501,20170113,1
110-23501,20170117,1
110-23501,20170118,1
110-23501,20170119,1
110-23501,20170120,1
110-23501,20170123,1
110-23501,20170124,1
110-23501,20170125,1
110-23501,20170126,1
110-23501,20170127,1
110-23501,20170130,1
110-23501,20170131,1
110-23501,20170201,1
110-23501,20170202,1
110-23501,20170203,1
110-23501,20170206,1
110-23501,20170207,1
110-23501,20170208,1
110-23501,20170209,1
110-23501,20170210,1
110-23501,20170213,1
110-23501,20170214,1
110-23501,20170215,1
110-23501,20170216,1
110-23501,20170217,1
110-23501,20170220,1
110-23501,20170221,1
110-23501,20170222,1
110-23501,20170223,1
110-23501,20170224,1
110-23501,20170227,1
110-23501,20170228,1
110-23501,20170301,1
110-23501,20170302,1
110-23501,20170303,1
110-23501,20170306,1
110-23501,20170307,1
110-23501,20170308,1
110-23501,20170309,1
110-23501,20170320,1
110-23501,20170321,1
110-23501,20170322,1
110-23501,20170323,1
110-23501,20170324,1
110-23501,20170327,1
110-23501,20170328,1
110-23501,20170329,1
110-23501,20170330,1
110-23501,20170331,1
110-23501,20170403,1
110-23501,20170404,1
110-23501,20170405,1
110-23501,20170406,1
110-23501,20170407,1
110-23501,20170410,1
110-23501,20170411,1
110-23501,20170412,1
110-23501,20170413,1
110-23501,20170414,1
110-23501,20170417,1
110-23501,20170418,1
110-23501,20170419,1
110-23501,20170420,1
110-23501,20170421,1
110-23501,20170424,1
110-23501,20170425,1
110-23501,20170426,1
110-23501,20170427,1
110-23501,20170428,1
110-23501,20170501,1
110-23501,20170502,1
110-23501,20170503,1
110-23501,20170504,1
110-23501,20170505,1
110-23501,20170508,1
110-23501,20170509,1
110-23501,20170510,1
110-23501,20170511,1
110-23501,20170515,1
110-23501,20170516,1
110-23501,20170517,1
110-23501,20170518,1
110-23501,20170519,1
110-23501,20170522,1
110-23501,20170523,1
110-23501,20170524,1
110-23501,20170525,1
110-23501,20170526,1
110-23501,20170530,1
110-23501,20170531,1
110-23501,20170601,1
110-23501,20170602,1
110-23804,20170114,1
110-23804,20170116,1
110-23804,20170121,1
110-23804,20170128,1
110-23804,20170204,1
110-23804,20170211,1
110-23804,20170218,1
110-23804,20170225,1
110-23804,20170304,1
110-23804,20170325,1
110-23804,20170401,1
110-23804,20170408,1
110-23804,20170415,1
110-23804,20170422,1
110-23804,20170429,1
110-23804,20170506,1
110-23804,20170513,1
110-23804,20170520,1
110-23804,20170527,1
110-23804,20170603,1
110-24105,20170108,1
110-24105,20170115,1
110-24105,20170122,1
110-24105,20170129,1
110-24105,20170205,1
110-24105,20170212,1
110-24105,20170219,1
110-24105,20170226,1
110-24105,20170305,1
110-24105,20170319,1
110-24105,20170326,1
110-24105,20170402,1
110-24105,20170409,1
110-24105,20170416,1
110-24105,20170423,1
110-24105,20170430,1
110-24105,20170507,1
110-24105,20170514,1
110-24105,20170521,1
110-24105,20170528,1
110-24105,20170529,1
110-25405,20170319,1
110-26101,20170110,1
110-26101,20170112,1
110-26101,20170117,1
110-26101,20170119,1
110-26101,20170124,1
110-26101,20170126,1
110-26101,20170131,1
110-26101,20170202,1
110-26101,20170207,1
110-26101,20170209,1
110-26101,20170214,1
110-26101,20170216,1
110-26101,20170221,1
110-26101,20170223,1
110-26101,20170228,1
110-26101,20170302,1
110-26101,20170307,1
110-26101,20170309,1
110-26101,20170314,1
110-26101,20170316,1
110-26101,20170321,1
110-26101,20170323,1
110-26101,20170328,1
110-26101,20170330,1
110-26101,20170404,1
110-26101,20170406,1
110-26101,20170411,1
110-26101,20170413,1
110-26101,20170418,1
110-26101,20170420,1
110-26101,20170425,1
